,tic,date,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
0,sh.600000,2019-04-30,2019-03-31,0.034284,13.371919,,0.990015,0.331942,0.860641,,
1,sh.600000,2019-08-24,2019-06-30,0.066587,13.428551,,0.990590,0.332083,0.848056,,
2,sh.600000,2019-10-30,2019-09-30,0.095587,12.929761,,0.989481,0.333802,0.846423,,
3,sh.600000,2020-04-25,2019-12-31,0.114901,12.965903,,0.990001,0.312059,0.852314,,
4,sh.600000,2020-04-25,2020-03-31,0.030746,12.668370,,0.990359,0.316289,0.846615,,
5,sh.600000,2020-08-29,2020-06-30,0.051763,12.984997,,0.989779,0.288481,0.871537,,
6,sh.600000,2020-10-31,2020-09-30,0.079413,13.028267,,0.990086,0.303837,0.875232,,
7,sh.600000,2021-03-27,2020-12-31,0.097856,12.546493,,0.988677,0.300396,0.884692,,
8,sh.600028,2019-04-30,2019-03-31,0.020251,2.335895,0.421392,0.799253,0.025741,0.769304,0.911541,0.036707
9,sh.600028,2019-08-26,2019-06-30,0.043439,2.368336,0.877336,0.804446,0.025988,0.793466,0.919315,0.035627
10,sh.600028,2019-10-31,2019-09-30,0.059936,2.367075,1.306544,0.794672,0.024387,0.797050,0.897664,0.034085
11,sh.600028,2020-03-30,2019-12-31,0.079026,2.296620,1.772248,0.798522,0.024315,0.801213,0.914843,0.033172
12,sh.600028,2020-04-30,2020-03-31,-0.027257,2.454401,0.311851,0.940567,-0.037861,0.736389,1.075703,-0.047796
13,sh.600028,2020-08-31,2020-06-30,-0.031969,2.498531,0.578323,1.030257,-0.021475,0.792874,1.224836,-0.022113
14,sh.600028,2020-10-29,2020-09-30,0.032018,2.420720,0.874742,0.757948,0.019950,0.837628,0.834389,0.028544
15,sh.600028,2021-03-29,2020-12-31,0.044443,2.354752,1.207256,0.788599,0.019824,0.870354,1.006315,0.022635
16,sh.600030,2019-04-30,2019-03-31,0.027375,4.264374,,0.977183,0.414069,0.759405,,
17,sh.600030,2019-08-23,2019-06-30,0.041700,4.454270,,0.967230,0.305812,0.746059,,
18,sh.600030,2019-10-31,2019-09-30,0.067187,4.413933,,0.969509,0.331152,0.751024,,
19,sh.600030,2020-03-20,2019-12-31,0.077700,4.590252,,0.966808,0.293197,0.744261,,
20,sh.600030,2020-04-29,2020-03-31,0.024046,5.056510,,0.965021,0.328598,0.763302,,
21,sh.600030,2020-08-25,2020-06-30,0.052868,5.232233,,0.968072,0.344766,0.776525,,
22,sh.600030,2020-10-30,2020-09-30,0.074176,5.377901,,0.965552,0.312243,0.772199,,
23,sh.600030,2021-03-19,2020-12-31,0.086809,5.372806,,0.960415,0.285321,0.757997,,
24,sh.600031,2019-04-29,2019-03-31,0.091727,2.241728,0.270511,0.968844,0.156127,0.836110,0.970148,0.192475
25,sh.600031,2019-08-30,2019-06-30,0.189933,2.262030,0.539858,0.972915,0.159863,0.836526,0.999062,0.191283
26,sh.600031,2019-10-31,2019-09-30,0.248159,2.193979,0.724768,0.973768,0.160266,0.840981,1.012781,0.188166
27,sh.600031,2020-04-24,2019-12-31,0.295278,2.164734,0.920978,0.974963,0.151911,0.854332,0.996128,0.178504
28,sh.600031,2020-04-29,2020-03-31,0.048283,2.071733,0.183439,0.990831,0.128224,0.838606,0.989932,0.154457
29,sh.600031,2020-08-28,2020-06-30,0.179608,2.195402,0.475225,0.980233,0.175624,0.853256,1.001169,0.205587
30,sh.600031,2020-10-30,2020-09-30,0.254644,2.152369,0.697708,0.977768,0.173423,0.853523,1.001657,0.202849
31,sh.600031,2021-03-31,2020-12-31,0.305624,2.146845,0.923028,0.972938,0.158521,0.855884,1.004327,0.184415
32,sh.600036,2019-04-30,2019-03-31,0.045635,12.240568,,0.989920,0.370925,0.771071,,
33,sh.600036,2019-08-24,2019-06-30,0.091357,12.580198,,0.995163,0.367734,0.783963,,
34,sh.600036,2019-10-31,2019-09-30,0.135919,12.363504,,0.993287,0.374337,0.788052,,
35,sh.600036,2020-03-21,2019-12-31,0.161309,12.300448,,0.994049,0.346392,0.797587,,
36,sh.600036,2020-04-30,2020-03-31,0.044354,12.114391,,0.994312,0.364920,0.800905,,
37,sh.600036,2020-08-29,2020-06-30,0.080056,12.420551,,0.994209,0.337560,0.796938,,
38,sh.600036,2020-10-31,2020-09-30,0.116541,11.846841,,0.993941,0.348056,0.787192,,
39,sh.600036,2021-03-20,2020-12-31,0.145825,11.818790,,0.993701,0.337229,0.800057,,
40,sh.600048,2019-04-27,2019-03-31,0.018856,7.102086,0.025845,0.693921,0.148039,0.741687,0.795820,0.250807
41,sh.600048,2019-08-13,2019-06-30,0.080377,7.184086,0.079952,0.767901,0.182233,0.755370,0.889993,0.271069
42,sh.600048,2019-10-26,2019-09-30,0.102507,7.275426,0.122772,0.731096,0.156973,0.754364,0.871528,0.238760
43,sh.600048,2020-04-16,2019-12-31,0.201184,6.762871,0.251083,0.744502,0.159140,0.743191,0.955534,0.224095
